aid,build_buguize,avg_height,std_dev_height,shape_coefficient_sum,jiaochakou,mean_kuai,shape_index,TotalDensity,value_x,duanbofushe,fengsu,jiangshuiliang,pingjundiwen,qiya,rizhaodanweishu,wendu,shidu,zhengfaliang,gdp,dengguang,ndvi,mean_SVF,zuidiqiwen,zuigaoqiwen,ydl,X,X2,Y,value_y,FID_1,gaodu,area,beijing_GF_midu,beijing_JT_midu,beijing_JZ_midu,beijing_LD_midu,beijing_SY_midu,beijing_TCC_midu,poi_hhd,p_cd,p_gyyd,p_gggl,p_gc,p_jt,p_ld,p_nd,p_sl,p_sy,p_sd,p_st,p_zzyd,landuse_hhd,road_length,road_density,population,population_density,bus_coverage_area,subway_coverage_area,wgarea,building_density,building_area,floor_area_ratio,Mean patch size,Percent cover of landscape,Administrative fraction,Sport and cultural fraction
10,0,0,0,0,0,1370.51888,3.258742362,0.065194066,36.29999924,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.53930917,6051.811182,0,-2.566583849,11.80700646,20002328.58,429255.3297,116.1692754,40.1603568,36.29999924,0,0,0.010964151,0,0,0,0,0,0,0,0,0,0.584848232,0,0,0,0.214800372,0,0,0,0,0,0.644087179,0.138140348,12.59927446,13,1.185682316,0,0,0.010964151,0,0,0,1370.51888,0,0,0
11,0,0,0,0,2,19639.38316,13.71046383,0.031380797,37,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.01233387,6051.811182,1,-2.340510607,12.21455479,20002328.58,429820.0839,116.1758921,40.1615947,37,0,0,0.274951364,3.637006867,7.274013735,0,3.637006867,0,0,1.039720771,0.004297736,0,0.738626366,0,0,0,0.332975853,0.021488322,0,0,0,0,0.695886833,2.880473812,10.47630304,262,0.952895799,0.093561879,0,0.274951364,0,0,0,19639.38316,0,0,3.637006867
12,0.4336526,35.06661078,25.94510517,3.26101275,1,24667.93267,15.99639749,0.019967374,37.5,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.37742186,6673,0.943214286,-2.534519434,11.98334217,10465641,430610.9095,116.1851678,40.16248709,37.5,0,0,0.468690721,0,0,0,0,4.267206308,0,-1.00E-10,0.00378167,0,0.92087696,0,0,0.00378172,0.669931426,0.044014521,0,0,0,0,0.523921056,1.860348208,3.969244804,251,0.535534392,0.259415522,0,0.468690721,0.019764807,0.092812119,0.19802423,24667.93267,3.26101275,0,0
13,0.412827416,26.42322736,3.483064908,2.669720715,0,21334.34247,25.83707437,0.024506528,37.70000076,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.278961897,6519,0.958111111,-2.566583849,11.80700646,20002328.58,431458.9802,116.1951212,40.16293854,37.70000076,0,0,0.554692904,0,0,0,0,0,0,0,0.004260388,0,0.953328173,0,0,0,0.497562146,0.185263356,0,0,0,0,0.72848567,0,0,114,0.205519124,0.15469403,0,0.554692904,0.00586691,0.02452065,0.044205811,21334.34247,2.669720715,0,0
14,0.60626087,28.65123279,9.974097035,49.8582021,2,21576.841,31.75090408,0.018967018,37.90000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.19984674,7623,0.811514,-2.652350426,11.84540462,11457485,432311.3941,116.2051253,40.16342978,37.90000153,0,0,0.64730523,9.269197469,6.179464979,1.544866245,0,18.53839494,3.08973249,1.318839488,0,0,0.727120777,0,0.103908188,0.004563562,0.400790985,0.047664976,0,0,0,0,1.003096567,3.088347305,4.771083504,534,0.824958575,0.93247407,0,0.64730523,0.079611779,0.419714415,0.648402632,21576.841,49.8582021,0,0
15,0.587858869,28.81047126,11.32464352,215.3053381,0,17389.93786,61.94696703,0.017475068,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,9.459521294,4750,0.679894231,-2.683861256,11.81316376,11355927,433161.9981,116.2151078,40.16396027,38.09999847,0,0,0.747767328,28.08360196,0,0,0,82.91349149,0,0.565620089,0.002370203,0,0,0,0.968933366,0.003160278,0.219138209,0.067012294,0,0,0,0,0.57688984,0.12515595,0.167372851,1515,2.026031284,0.448161319,0,0.747767328,0.1970019,1.209525189,1.617515427,17389.93786,215.3053381,0,0
16,1.475255962,38.86041021,23.72751077,22.13639271,4,17669.63936,47.0218716,0.026556514,38.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,8.488236189,5401,0.912558824,-2.831867695,11.63793945,16937126,434012.9418,116.2250945,40.16449054,38.40000153,0,0,0.848142689,1.17904689,0,0,0,1.17904689,0,0.69314718,0,0,0.037903705,0.00208983,0.872437006,0,0.550525742,0.128253112,0,0,0,0,0.847998753,5.395383919,6.361410628,319,0.376115958,0.42017073,0,0.848142689,0.033228084,0.324096218,0.382124637,17669.63936,22.13639271,0,0
17,0.692129262,49.9291321,31.54665968,18.10433724,3,12625.12905,83.47364662,0.027713534,39.20000076,5619.674805,1.806553364,605.8815918,15.14575291,1010.278748,2545.471436,13.35970688,13.35970688,1396.275269,8534,17.55386424,6487,0.882932432,-2.812424183,11.66786003,17510136,434859.9826,116.2350363,40.16494217,39.20000076,0,0,0.934259549,6.422198204,7.492564571,3.211099102,0,18.19622824,5.351831836,1.430228761,0.000632338,0,0.020845832,0,0.663863642,0.006955996,0.308650728,0.186517444,0,0,0,0.029979618,1.173057105,11.67047511,12.49168404,2507,2.683408483,0.964233751,0,0.934259549,0.052543185,0.708506517,0.758361547,12625.12905,18.10433724,0.029979618,0
18,0.784590282,31.77283519,14.70706331,112.1440613,0,16021.15421,59.51940733,0.017557973,39.5,5618.526367,1.808230281,606.1898193,15.14727688,1010.357483,2545.807373,13.35711002,13.35711002,1395.759644,11173,13.59474206,5186,0.705280952,-2.747220039,11.75371265,19898814,435708.1435,116.2449959,40.16499902,39.5,0,0,0.945248098,10.57923313,2.115846627,0,3.17376994,8.463386506,1.057923313,1.330407393,0.001249929,0,0.00050574,0,0.003533217,0.004374888,0.165481009,0.085674298,0,0,0.001250041,0.923429344,0.646024426,1.075335628,1.137622631,5072,5.365787045,1.11073193,0,0.945248098,0.084704734,0.733262369,0.775735355,16021.15421,112.1440613,0.923429344,3.17376994
19,0.673077423,51.89342145,36.80008591,78.12020556,6,12773.58873,63.89528346,0.022492605,39.40000153,5617.478516,1.808901548,606.0112915,15.15399265,1010.535522,2546.127441,13.35936165,13.35936165,1395.374878,10427,21.05986381,5219,0.67299,-2.566583849,11.80700646,20002328.58,436559.6948,116.2549959,40.16499902,39.40000153,0,0,0.945245566,151.2834391,11.63718762,14.81096606,2.115852295,180.9053712,2.115852295,1.012635725,0,0,0,0,0,0,0.29144782,0.061842372,0,0.001250033,0.003124828,0.981532408,0.576119115,8.532168738,9.026404401,11805,12.48881817,7.263442427,0.37495762,0.945245566,0.099139697,1.398747583,1.479771642,12773.58873,78.12020556,0.981532408,2.115852295
20,0.426262839,55.12307889,37.90441308,31.83232266,7,16879.34049,72.43814739,0.02033372,39.29999924,5616.327148,1.811422825,606.0374146,15.14974117,1010.503174,2546.772217,13.34974861,13.34974861,1394.728149,10814,27.68960524,6051.811182,0.76869125,-2.763015032,11.74007034,20277292,437411.2458,116.2649959,40.16499902,39.29999924,0,0,0.945243068,29.62201042,11.63721838,14.81100521,1.057928944,61.35987873,2.115857887,1.28429173,0,0,0.121730565,0,0,0,0.289772665,0.056208569,0,0,0.00062499,0.8397349,0.928380834,7.936639062,8.396400178,4604,4.870704856,7.396948141,0.945243068,0.945243068,0.084103599,1.245341185,1.317482484,16879.34049,31.83232266,0.8397349,1.057928944
21,0.734117507,44.86539104,26.18151979,45.27528154,2,20111.50219,46.25447024,0.023472077,39.20000076,5617.210938,1.814478159,603.8687744,15.14697266,1010.624878,2548.897705,13.33555794,13.33555794,1394.118652,118852.678,27.19043541,6561,0.865175714,-2.702625036,11.81964016,20411410,438262.7965,116.2749959,40.16499902,39.20000076,0,0,0.945240603,8.463453616,14.81104383,2.115863404,0,16.92690723,1.057931702,1.290887948,0,0,0.648452329,0,0,0,0.585687496,0.056232673,0,0,0,0.275806708,1.111318926,3.376584901,3.572196211,1527,1.615461709,5.263800122,1.210583062,0.945240603,0.046757913,0.567039816,0.599889397,20111.50219,45.27528154,0.275806708,0
22,0.791627079,29.96842332,11.86833941,45.13865501,1,13313.21369,62.06586518,0.030415649,39.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,11469,21.42142105,7682,0.88145875,-2.652245998,11.88672924,20032626,439114.3468,116.2849959,40.16499902,39.09999847,0,0,0.945238172,3.173803268,0,1.057934423,0,3.173803268,0,1.004242473,0.004999956,0,0.942864315,0,0,0,0.641185668,0.173731356,0,0,0.001875127,0,0.682775487,1.315322878,1.39152535,326,0.344886622,0.017267431,1.575969512,0.945238172,0.028421566,0.230897636,0.244274557,13313.21369,45.13865501,0,0
23,0.62823347,33.80909835,21.91816166,21.46438021,0,13900.5261,67.08455047,0.023171549,39,5616.18457,1.815919161,603.1693115,15.14778042,1010.689941,2549.612061,13.32994366,13.32994366,1393.603516,9637,9.122638941,6566,0.869238571,-2.667652369,11.87294388,19357620,439965.8968,116.2949959,40.16499902,39,0,0,0.945235775,7.40555974,1.057937106,3.173811317,0,12.69524527,0,1.103490402,0,0.005008324,0.944598178,0.000624989,0,0,0.482081294,0.101304605,0,0,0.002500026,0,0.683651572,1.040359369,1.10063478,673,0.711991672,0.971215984,0.26445666,0.945235775,0.023048119,0.221204768,0.234020732,13900.5261,21.46438021,0,0
24,0.724511694,36.71772455,15.47744632,35.77534232,5,13900.49135,61.84117571,0.028190831,39.09999847,5615.123047,1.818266511,602.4686279,15.14305019,1010.649109,2550.534912,13.31813812,13.31813812,1392.95752,9706,9.948183537,7892,0.8871775,-2.52067399,12.05802631,17415096,440817.4465,116.3049959,40.16499902,39.09999847,0,0,0.945233412,3.173819252,3.173819252,0,0,9.521457757,0,0.950270539,0.006250145,0.052628974,0.698497948,0,0,0.000625005,0.56624433,0.093199331,0,0,0,0.131596715,1.252017306,5.81292808,6.149727685,2293,2.425855849,1.450323399,0,0.945233412,0.053221277,0.543649218,0.575148118,13900.49135,35.77534232,0.131596715,0
25,0.872469456,36.93163236,22.11526459,86.84126504,5,10274.25089,84.43183925,0.029683601,39,5614.300293,1.817719579,600.855835,15.15435314,1010.916016,2551.21167,13.32248974,13.32248974,1392.704346,9439,12.18184805,7809,0.713274286,-2.733564615,11.80164719,15145981,441668.9959,116.3149959,40.16499902,39,0,0,0.945231082,43.37563668,5.289711791,10.57942358,0,67.70831092,0,1.041674971,0.006875233,0,0.487409663,0,0,0.005625035,0.282506613,0.09314248,0,0,0.001250017,0.398978242,1.366800362,4.804426471,5.082806271,2832,2.996092758,1.879558818,0,0.945231082,0.065163013,0.6491884,0.686803907,10274.25089,86.84126504,0.398978242,0
26,1.053227165,30.11740301,12.43512092,31.19619719,0,15931.21416,49.69054799,0.020470991,38.79999924,5612.566162,1.816452742,599.8661804,15.1673727,1011.153015,2551.258789,13.33151913,13.33151913,1392.496765,118852.678,8.973424911,6640,0.86722,-2.566583849,11.80700646,20002328.58,442518.4569,116.3249716,40.16497193,38.79999924,0,0,0.939941635,4.255583379,3.191687534,0,0,4.255583379,0,1.090059658,0.003750332,0,0.050302308,0,0,0.001864779,0.228368298,0.104266626,0,0,0,0.831329657,0.90960774,2.424048762,2.578935406,295,0.313849274,1.028915196,0,0.939941635,0.010438598,0.084256869,0.089640532,15931.21416,31.19619719,0.831329657,0
27,0.397000584,30.91831067,10.91583299,7.998530438,1,20830.28044,34.13127828,0.025407822,38.5,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,6.356422901,8053,0.916664286,-2.738435745,11.80006981,13424612,443348.8835,116.334732,40.16410998,38.5,0,0,0.770720376,2.59497486,0,0,0,7.784924579,0,0.562335144,0.002324809,0,0.003684888,0,0,0.002324813,0.589405337,0.145998754,0,0,0,0.682346505,0.902157538,0.356524814,0.462586464,340,0.441145726,0,0,0.770720376,0.020595271,0.139546522,0.181059859,20830.28044,7.998530438,0.682346505,0
28,0.905728557,46.90126555,18.26718641,12.83243832,0,15351.0328,33.53808156,0.025523149,38.20000076,5610.946777,1.814249754,598.4069824,15.18563175,1011.490662,2551.300537,13.34579849,13.34579849,1392.419678,118852.678,10.3742218,6176,0.831914634,-2.809090376,11.71758366,12797613,444192.5828,116.3446515,40.16288158,38.20000076,0,0,0.537286148,0,0,0,0,1.861205624,0,-1.00E-10,0.007697132,0,0,0,0,0,0.414576532,0.102002891,0,0,0.019774076,0.93236481,0.778218253,0.130140056,0.242217405,88,0.163786095,0.000651915,0,0.537286148,0.119648554,0.862304006,1.604925066,15351.0328,12.83243832,0.93236481,0
29,1.002263088,51.47599991,35.04565054,10.86716904,1,9485.367354,71.4661299,0.035285842,38.29999924,5610.237305,1.813645601,596.1224976,15.19651222,1011.750916,2552.270996,13.3486948,13.3486948,1392.166016,118852.678,8.709431648,6051.811182,0.866822222,-2.864401102,11.65364838,20002328.58,445034.4854,116.3545477,40.16184879,38.29999924,0,0,0.341473225,5.856974588,5.856974588,2.928487294,0,0,0,1.054920168,6.06E-06,0,0.027535445,0.00173008,0,0,0.407439451,0.198923797,0,0,2.86E-05,0.416191749,1.162180367,2.055356121,6.019084285,100,0.292848729,0,0,0.341473225,0.084664603,0.412454012,1.207866333,9485.367354,10.86716904,0.416191749,0
30,0,0,0,0,0,10795.86663,33.49407246,0.036995724,38.29999924,5609.494141,1.813961506,593.8622437,15.2018652,1011.906067,2553.445313,13.34546757,13.34546757,1391.781616,118852.678,23.53930917,6051.811182,1,-2.566583849,11.80700646,20002328.58,445861.7579,116.3642704,40.16097042,38.29999924,0,0,0.172733866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616264641,0.336800398,0,0,0.002006694,0.001239725,0.685610092,0.243398794,1.409097122,23,0.133152812,0,0,0.172733866,0,0,0,10795.86663,0,0.001239725,0
31,0,0,0,0,0,2260.294745,54.67970075,0.079360895,38.40000153,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,23.53930917,6051.811182,0,-2.566583849,11.80700646,20002328.58,446532.9085,116.3721572,40.16034324,38.40000153,0,0,0.031644126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376433221,0.250450045,0,0,0,0.131871782,0.981690157,0,0,6,0.189608647,0.000148639,0,0.031644126,0,0,0,2260.294745,0,0.131871782,0
32,0,0,0,0,0,2098.221119,12.69954868,0.043441779,37.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,5.403246403,6051.811182,0,-2.566583849,11.80700646,20002328.58,428404.2624,116.1593994,40.15082586,37.09999847,0,0,0.020982211,0,0,0,0,0,0,0,0,0,0.609974228,0,0,0,0.114244619,0.000106547,0,0,0,0,0.550352163,0,0,8,0.381275354,0.043376135,0,0.020982211,0,0,0,2098.221119,0,0,0
33,0.538221904,26.80909597,4.561235479,68.28729736,1,17889.82864,38.09514458,0.026619924,37.59999847,5621.913086,1.793906927,603.3746338,15.14186668,1009.707886,2542.178467,13.3744688,13.3744688,1399.056274,6515,10.80325594,6051.811182,0.828647368,-2.331177711,12.21415043,13491459,428959.9076,116.1658837,40.15405332,37.59999847,0,0,0.697703317,4.299821898,5.733095864,0,0,7.16636983,0,1.077556327,0.009288095,0,0.955057632,0,0,0.006747157,0.539165502,0.033004906,0,0,0,0,0.566745913,1.182618886,1.695016861,326,0.467247313,2.074872133,0,0.697703317,0.06779735,0.361809523,0.51857217,17889.82864,68.28729736,0,0
34,0.971086898,27.33317507,5.995942897,145.8217047,0,27805.99563,49.42311258,0.022103444,38.09999847,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,14.57814248,5528,0.86824,-2.423791409,12.1072073,20002328.58,429736.9667,116.1749959,40.15499902,38.09999847,0,0,0.945403851,1.057749023,0,0,0,3.173247069,0,0.562335144,0.005645691,0,0.984839141,0,0,2.06E-05,0.65879799,0.028135345,0,0,0.006250112,0,0.451620222,0.06594996,0.069758505,162,0.171355342,0.129495033,0,0.945403851,0.042809853,0.315676697,0.333906717,27805.99563,145.8217047,0,0
35,0.786042901,26.71461449,5.626752026,163.8988573,2,29543.7838,30.24465009,0.016937424,38.20000076,5622.393555,1.800412655,604.2571411,15.1248827,1009.555054,2543.903564,13.35277462,13.35277462,1398.0448,10875,6.443249106,5993,0.85285875,-2.546705246,11.96299934,13491459,430588.6454,116.1849959,40.15499902,38.20000076,0,0,0.945401081,10.57752122,0,1.057752122,0,15.86628183,0,0.810150232,0.002500059,0,0.999557808,0,0,0.001249959,0.660611137,0.022500457,0,0,0,0,0.383030966,1.457024577,1.541170838,463,0.489739232,2.75E-05,0,0.945401081,0.070669639,0.508818028,0.538203349,29543.7838,163.8988573,0,0
36,0.587003975,26.00276448,5.382358638,62.22117247,0,23634.95864,38.90225263,0.022335389,38.09999847,5621.260254,1.800441861,605.144104,15.13804531,1009.856567,2543.626465,13.36448574,13.36448574,1397.790771,10451,4.862362504,6908,0.876872857,-2.566583849,11.80700646,12966122,431440.3237,116.1949959,40.15499902,38.09999847,0,0,0.945398345,2.115510366,0,0,0,1.057755183,0,0.636514168,0.003749994,0,1,0,0,0,0.620053789,0.080639725,0,0,0.001239703,0,0.528630561,0.911514626,0.96415932,141,0.149143481,0.026188845,0,0.945398345,0.05015443,0.35345807,0.373872105,23634.95864,62.22117247,0,0
37,0.552531731,27.21063724,7.199160125,95.0460989,3,21985.94519,52.76544819,0.019985823,38.29999924,5620.158203,1.800411105,605.789856,15.1509943,1010.154175,2543.446777,13.37550068,13.37550068,1397.536621,10827,5.465690295,7200,0.81280625,-2.55794549,11.95558453,13491459,432292.0017,116.2049959,40.15499902,38.29999924,0,0,0.945395643,4.231032826,1.057758206,1.057758206,1.057758206,23.27068054,0,0.831154056,0.008125107,0,0.984401667,0,0.000257084,0.004375056,0.494975243,0.023757503,0,0,0.001885315,0,0.529237802,1.255393395,1.327902666,852,0.901209992,0.616051894,0,0.945395643,0.076014236,0.558520889,0.590780053,21985.94519,95.0460989,0,1.057758206
38,0.754183566,29.31122327,8.264852576,37.85537242,0,15006.2377,96.380814,0.028666896,38.70000076,5618.883301,1.803173661,606.8723145,15.14755344,1010.137695,2543.705566,13.36904907,13.36904907,1396.889648,10201,6.624507189,7510,0.929125352,-2.589342117,11.92331791,13616418,433143.6794,116.2149959,40.15499902,38.70000076,0,0,0.945392975,1.057761192,0,0,0,5.28880596,0,0.450561209,0,0,0.066978737,0,0.860250351,0,0.478092087,0.191239284,0,0,0,0,0.97972674,0.375454547,0.397141249,334,0.353292238,0.503685357,0,0.945392975,0.021240066,0.166438615,0.176052308,15006.2377,37.85537242,0,0
39,0.702262273,29.20112668,7.994150294,82.60229906,1,21008.67423,36.80761162,0.026666729,39.20000076,5570.778723,1.78769898,564.8324336,15.29747587,1010.762888,2544.218833,13.3356287,13.3356287,1394.148712,118852.678,7.734795173,7890,0.900829545,-2.747372866,11.73563671,16352358,433995.3567,116.2249959,40.15499902,39.20000076,0,0,0.94539034,0,0,0,0,2.11552828,0,-1.00E-10,0.003124933,0,0,0,1,0,0.521910937,0.238128646,0,0,0.003750112,0,0.720051954,0.941945196,0.99635585,192,0.203090715,0.208455043,0,0.94539034,0.037278114,0.29377733,0.310747125,21008.67423,82.60229906,0,0
40,0.823925733,44.12258253,26.07769251,31.24765144,8,19695.5779,48.36551934,0.020885393,39.5,5617.000488,1.80032438,607.3204956,15.17254734,1010.602417,2542.737671,13.39332628,13.39332628,1396.947266,10558,19.57739576,6076,0.811707143,-2.651754141,11.85878658,17314240,434847.0336,116.2349959,40.15499902,39.5,0,0,0.945387739,10.5776705,6.346602299,2.1155341,0,7.404369349,3.17330115,1.472207723,0,0,0,0,1,0,0.398213292,0.010051637,0,0,0,0,0.41289959,8.72848242,9.232701099,2592,2.741732193,3.03276744,0,0.945387739,0.094035811,1.114377344,1.178751636,19695.5779,31.24765144,0,0
